monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,state,region,publishedDatetime,ads_id,latitude,longitude,address
"RM 2,700 per month","Apartment / Condominium, For rent",Condominium,3,2,1087 sq.ft.,Fully Furnished,"Security, Barbeque area, Playground, Swimming Pool, Tennis Court, Lift, Gymnasium, Parking","Air-Cond, Cooking Allowed, Washing Machine",Penang,Bayan Lepas,2025-01-13 16:45,109777484,,,"Persiaran Mahsuri, Off Jalan Tun Dr Awang, Bayan Lepas, Penang"
"RM 1,500 per month","Apartment / Condominium, For rent",Condominium,3,2,1300 sq.ft.,Fully Furnished,"Swimming Pool, Gymnasium, Barbeque area, Sauna, Playground, Security, Multipurpose hall, Parking, Lift",,Penang,Bukit Mertajam,2025-01-13 16:45,109777418,,,"Lorong Maju, Off Jalan Maju, Pusat Perniagaan Maju Jaya, Bukit Mertajam, Penang"
"RM 2,800 per month","Apartment / Condominium, For rent",Condominium,3,4,1450 sq.ft.,Fully Furnished,"Parking, Gymnasium, Swimming Pool, Jogging Track, Security, Barbeque area, Sauna, Multipurpose hall, Lift, Playground","Air-Cond, Cooking Allowed, Washing Machine",Penang,Tanjung Bungah,2025-01-13 16:45,109777383,,,"No. 501, Off Jalan Tanjung Bungah, Tanjung Bungah, Penang"
"RM 2,500 per month","Apartment / Condominium, For rent",Condominium,3,2,1109 sq.ft.,Fully Furnished,"Playground, Swimming Pool, Security, Multipurpose hall, Parking, Club house",,Selangor,Shah Alam,2025-01-13 16:45,109777496,,,"Tuai Residence Show Gallery, Lot 98513, Persiaran Setia Damai, Shah Alam, Selangor"
"RM 1,700 per month","Apartment / Condominium, For rent",Service Residence,2,1,544 sq.ft.,Fully Furnished,"Parking, Security, Multipurpose hall, Minimart, Playground, Swimming Pool, Gymnasium, Barbeque area, Jogging Track, Lift",,Johor,Tampoi,2025-01-13 16:45,109777437,,,"Jalan Bukit Aliff Utama, Taman Damansara Aliff, Tampoi, Johor"
"RM 1,900 per month","Apartment / Condominium, For rent",Condominium,3,2,850 sq.ft.,Fully Furnished,"Parking, Playground, Security, Lift, Swimming Pool, Gymnasium, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",Penang,Gelugor,2025-01-13 16:45,109777470,,,"Persiaran Bayan Mutiara 3, Gelugor, Penang"
"RM 3,500 per month","Apartment / Condominium, For rent",Condominium,2,2,1288 sq.ft.,Partially Furnished,"Sauna, Gymnasium, Playground, Jogging Track, Security, Swimming Pool, Parking",,Sabah,Kota Kinabalu,2025-01-13 16:45,109777450,,,"Lorong Alpha, Taman Alpha, Kota Kinabalu, Sabah"
"RM 2,500 per month","Apartment / Condominium, For rent",Condominium,3,2,1050 sq.ft.,Fully Furnished,"Barbeque area, Playground, Gymnasium, Swimming Pool, Lift, Multipurpose hall, Parking, Security, Minimart","Air-Cond, Cooking Allowed, Washing Machine",Penang,Gelugor,2025-01-13 16:45,109777445,,,"Persiaran Bayan Mutiara 3, Gelugor, Penang"
"RM 2,500 per month","Apartment / Condominium, For rent",Condominium,3,2,1050 sq.ft.,Fully Furnished,"Barbeque area, Playground, Gymnasium, Swimming Pool, Lift, Multipurpose hall, Parking, Security","Air-Cond, Cooking Allowed, Washing Machine",Penang,Gelugor,2025-01-13 16:45,109777378,,,"Persiaran Bayan Mutiara 3, Gelugor, Penang"
RM 900 per month,"Apartment / Condominium, For rent",Condominium,2,2,800 sq.ft.,Partially Furnished,"Sauna, Security, Squash Court, Parking, Gymnasium, Swimming Pool, Tennis Court, Multipurpose hall",Cooking Allowed,Penang,Batu Ferringhi,2025-01-13 16:45,109777373,,,"Jalan Mar Vista, Off Jalan Tanjung Bungah, Batu Ferringhi, Penang"
"RM 1,800 per month","House, For rent",2-storey Terraced House,4,3,1400 sq.ft.,Partially Furnished,"Security, Parking","Air-Cond, Washing Machine",Selangor,Puchong,2025-01-13 16:45,109777511,,,
"RM 1,199 per month","Apartment / Condominium, For rent",Apartment,3,2,800 sq.ft.,Partially Furnished,"Playground, Parking, Security, Lift","Cooking Allowed, Internet",Selangor,Setia Alam,2025-01-13 16:44,109777756,3.13436235,101.47200435,"No 6, Persiaran Setia Makmur, Seksyen U13, Setia Alam, Selangor"
