monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,address,state,region,publishedDatetime,ads_id,latitude,longitude
"RM 1,200 per month","Apartment / Condominium, For rent",Service Residence,1,1,400 sq.ft.,Fully Furnished,"Playground, Swimming Pool, Parking, Gymnasium, Security, Barbeque area, Lift","Air-Cond, Cooking Allowed, Washing Machine","Jalan Uranus U5/125, Subang Pelangi, Shah Alam, Selangor",Selangor,Shah Alam,2025-01-27 21:24,109807724,,
"RM 1,600 per month","Apartment / Condominium, For rent",Apartment,3,2,900 sq.ft.,Partially Furnished,"Swimming Pool, Gymnasium, Barbeque area, Sauna, Jogging Track, Parking, Security, Playground, Lift, Multipurpose hall","Air-Cond, Washing Machine, Cooking Allowed","Jalan Bulan Bm U5/Bm, Taman Subang Murni, Shah Alam, Selangor",Selangor,Shah Alam,2025-01-27 21:24,108966445,,
"RM 1,100 per month","Apartment / Condominium, For rent",Service Residence,1,1,400 sq.ft.,Fully Furnished,"Gymnasium, Swimming Pool, Parking, Security, Playground, Barbeque area, Lift","Air-Cond, Cooking Allowed, Washing Machine","Jalan Uranus U5/125, Subang Pelangi, Shah Alam, Selangor",Selangor,Shah Alam,2025-01-27 21:24,109421418,,
"RM 1,800 per month","Apartment / Condominium, For rent",Apartment,3,2,950 sq.ft.,Partially Furnished,"Lift, Security, Parking, Playground","Air-Cond, Cooking Allowed, Washing Machine","Jalan Bulan Bm U5/Bm, Taman Subang Murni, Shah Alam, Selangor",Selangor,Shah Alam,2025-01-27 21:24,109421586,,
"RM 2,500 per month","Apartment / Condominium, For rent",Condominium,3,2,926 sq.ft.,Fully Furnished,"Parking, Playground, Lift, Minimart, Gymnasium, Sauna, Security, Swimming Pool, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine","Jalan Lestari, Kampung Padang Tembak, Keramat, Kuala Lumpur",Kuala Lumpur,Keramat,2025-01-27 21:23,109528119,,
"RM 5,000 per month","Apartment / Condominium, For rent",Condominium,3,3,1324 sq.ft.,Fully Furnished,"Parking, Jogging Track, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall",,"Off Lebuh IRC, IOI Resort, Putrajaya, Putrajaya",Putrajaya,Putrajaya,2025-01-27 21:19,109775938,,
"RM 1,600 per month","Apartment / Condominium, For rent",Service Residence,2,1,450 sq.ft.,Fully Furnished,"Gymnasium, Sauna, Multipurpose hall, Security, Swimming Pool, Squash Court, Parking, Lift, Minimart, Tennis Court, Barbeque area","Air-Cond, Washing Machine, Internet, Cooking Allowed, Near KTM/LRT","Jalan Boling Padang 13/62, Seksyen 13, Shah Alam, Selangor",Selangor,Shah Alam,2025-01-27 21:17,109522825,3.0754387,101.5508405
"RM 1,350 per month","House, For rent",2-storey Terraced House,4,3,1400 sq.ft.,Not Furnished,Parking,,,Selangor,Kajang,2025-01-27 21:12,109395183,,
"RM 2,000 per month","Apartment / Condominium, For rent",Service Residence,3,2,1000 sq.ft.,Fully Furnished,"Sauna, Club house, Jogging Track, Barbeque area, Swimming Pool, Playground, Security, Gymnasium, Lift, Parking",,"Persiaran Setia Damai, Setia Alam, Selangor",Selangor,Setia Alam,2025-01-27 21:12,109499322,,
"RM 1,300 per month","Apartment / Condominium, For rent",Apartment,3,2,856 sq.ft.,Partially Furnished,"Minimart, Swimming Pool, Security, Playground, Parking","Air-Cond, Cooking Allowed, Near KTM/LRT","Jalan Melati Indah 1, Taman Melawati, Kuala Lumpur",Kuala Lumpur,Taman Melawati,2025-01-27 21:10,109119945,,
"RM 1,100 per month","Apartment / Condominium, For rent",Apartment,3,2,877 sq.ft.,Not Furnished,"Security, Lift, Parking, Swimming Pool, Playground, Jogging Track, Tennis Court","Near KTM/LRT, Cooking Allowed","Jalan Wawasan 2/3, Pusat Bandar Puchong, Puchong, Selangor",Selangor,Puchong,2025-01-27 21:10,109439003,3.0309992,101.6195873
"RM 1,500 per month","Apartment / Condominium, For rent",Service Residence,1,1,466 sq.ft.,Fully Furnished,"Security, Swimming Pool, Gymnasium, Multipurpose hall, Parking, Lift","Air-Cond, Cooking Allowed, Washing Machine","Jalan Plumbum 7/102, Shah Alam, Selangor",Selangor,Shah Alam,2025-01-27 21:10,109848690,3.0647791269756985,101.48606686973181
"RM 1,100 per month","Apartment / Condominium, For rent",Apartment,3,2,654 sq.ft.,Not Furnished,"Lift, Security, Parking, Multipurpose hall, Minimart",Cooking Allowed,"Jalan SS 9A/14, Petaling Jaya, Selangor",Selangor,Petaling Jaya,2025-01-27 21:10,109735305,3.086928675262303,101.62282695843773
"RM 2,200 per month","Apartment / Condominium, For rent",Condominium,2,2,881 sq.ft.,Fully Furnished,"Multipurpose hall, Security, Lift, Barbeque area, Playground, Swimming Pool, Gymnasium, Tennis Court, Parking, Minimart","Air-Cond, Cooking Allowed, Washing Machine","Persiaran Danga Perdana, Danga Bay, Johor Bahru, Johor",Johor,Johor Bahru,2025-01-27 21:10,109945243,1.4623036,103.7303918
"RM 1,800 per month","Apartment / Condominium, For rent",Service Residence,2,1,450 sq.ft.,Fully Furnished,"Sauna, Swimming Pool, Multipurpose hall, Security, Squash Court, Gymnasium, Parking, Lift, Minimart, Tennis Court","Air-Cond, Washing Machine, Near KTM/LRT","Jalan Boling Padang 13/62, Seksyen 13, Shah Alam, Selangor",Selangor,Shah Alam,2025-01-27 21:09,109945269,3.0754387,101.5508405
"RM 1,500 per month","Apartment / Condominium, For rent",Apartment,3,2,1068 sq.ft.,Fully Furnished,"Swimming Pool, Gymnasium, Security, Minimart, Barbeque area, Parking, Playground",,"Taman Puchong Prima, Puchong, Selangor",Selangor,Puchong,2025-01-27 21:08,109945265,,
RM 950 per month,"Apartment / Condominium, For rent",Apartment,3,2,650 sq.ft.,Not Furnished,"Parking, Playground",Cooking Allowed,"Jalan Impian Indah, Taman Bukit Jalil, Bukit Jalil, Kuala Lumpur",Kuala Lumpur,Bukit Jalil,2025-01-27 21:08,109635036,,
"RM 1,800 per month","Apartment / Condominium, For rent",Apartment,3,2,1450 sq.ft.,Partially Furnished,"Parking, Security, Playground",,"No. 42, Jalan Yeok Guan Seok, Off Jalan Cantonment, Pulau Tikus, Penang",Penang,Pulau Tikus,2025-01-27 21:06,109945260,,
