monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,state,region,publishedDatetime,ads_id,latitude,longitude,additional_facilities,address
"RM 3,500 per month","Apartment / Condominium, For rent",Condominium,3,2,1235 sq.ft.,Fully Furnished,"Minimart, Barbeque area, Sauna, Club house, Swimming Pool, Gymnasium, Tennis Court, Jogging Track, Security, Playground, Squash Court, Lift, Parking, Multipurpose hall",Kuala Lumpur,Mont Kiara,2025-01-28 14:19,109506398,3.1686864337742926,101.64903553578128,Air-Cond,"Jalan Kiara 3, Mont Kiara, Kuala Lumpur"
"RM 4,000 per month","Apartment / Condominium, For rent",Condominium,3,3,1389 sq.ft.,Fully Furnished,"Playground, Tennis Court, Gymnasium, Barbeque area, Parking, Security, Swimming Pool",Kuala Lumpur,Desa ParkCity,2025-01-28 14:10,109949034,3.1880829801170214,101.62642837988267,,"Persiaran Residen, Desa Parkcity, Desa ParkCity, Kuala Lumpur"
RM 898 per month,"Apartment / Condominium, For rent",Apartment,3,2,850 sq.ft.,Partially Furnished,"Security, Parking, Playground",Selangor,Shah Alam,2025-01-28 14:10,109949039,3.1641752519751543,101.5364285315286,"Near KTM/LRT, Cooking Allowed","Jalan Pluto U5/138, Seksyen U5, Shah Alam, Selangor"
"RM 1,800 per month","Apartment / Condominium, For rent",Condominium,3,2,1100 sq.ft.,Fully Furnished,"Security, Jogging Track, Playground, Gymnasium, Barbeque area, Swimming Pool, Multipurpose hall, Parking, Lift",Penang,Sungai Ara,2025-01-28 14:10,108362826,5.334168524300976,100.2729452755813,"Air-Cond, Cooking Allowed, Washing Machine","Lintang Sungai Ara 14, Sungai Ara, Penang"
"RM 1,200 per month","Apartment / Condominium, For rent",Condominium,3,2,1050 sq.ft.,Fully Furnished,"Security, Parking, Lift",Kuala Lumpur,Setapak,2025-01-28 14:10,109949104,,,,"No.2, Jalan Mata Air 2, Taman Ayer Panas, Setapak, Kuala Lumpur"
"RM 2,600 per month","House, For rent",2-storey Terraced House,5,3,2300 sq.ft.,Partially Furnished,"Parking, Security, Swimming Pool, Playground",Selangor,Bukit Antarabangsa,2025-01-28 14:09,109949230,,,"Air-Cond, Cooking Allowed, Washing Machine, Internet",
"RM 5,000 per month","House, For rent",2-storey Terraced House,6,5,3334 sq.ft.,Fully Furnished,,Selangor,Setia Alam,2025-01-28 14:08,109949225,,,,
"RM 1,700 per month","Apartment / Condominium, For rent",Service Residence,3,2,1000 sq.ft.,Partially Furnished,"Sauna, Playground, Swimming Pool, Lift, Gymnasium, Barbeque area, Club house, Parking, Security, Jogging Track",Selangor,Setia Alam,2025-01-28 14:08,109949221,,,,"Persiaran Setia Damai, Setia Alam, Selangor"
"RM 1,000 per month","Apartment / Condominium, For rent",Condominium,1,1,500 sq.ft.,Partially Furnished,Parking,Selangor,Shah Alam,2025-01-28 14:06,109949198,3.0077562172025196,101.53824481839203,,"Jalan Anggerik Malaxis 31/181, Shah Alam, Selangor"
"RM 1,900 per month","Apartment / Condominium, For rent",Condominium,2,2,1250 sq.ft.,Fully Furnished,"Parking, Playground, Swimming Pool, Tennis Court, Security, Gymnasium, Minimart, Lift",Selangor,Shah Alam,2025-01-28 14:06,108492141,3.089994405123767,101.53856756020981,"Air-Cond, Cooking Allowed, Washing Machine, Internet","Jalan Kelab Golf 13/1, Seksyen 13,, Shah Alam, Selangor"
"RM 1,600 per month","Apartment / Condominium, For rent",Condominium,2,1,600 sq.ft.,Fully Furnished,"Swimming Pool, Playground, Lift, Multipurpose hall, Jogging Track, Parking, Security, Gymnasium",Selangor,Kajang,2025-01-28 14:05,109949193,2.9565485931360893,101.79432617236422,"Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan Zamrud Utama, Kajang 2, Kajang, Selangor"
"RM 1,200 per month","Apartment / Condominium, For rent",Service Residence,3,2,450 sq.ft.,Fully Furnished,"Multipurpose hall, Swimming Pool, Gymnasium, Parking, Club house, Jogging Track, Sauna, Lift, Security, Playground, Minimart, Tennis Court, Barbeque area, Squash Court",Selangor,Cyberjaya,2025-01-28 14:05,109596791,2.9511567093657503,101.66553411933361,"Air-Cond, Internet, Cooking Allowed, Near KTM/LRT, Washing Machine","Persiaran Harmoni, Cyber 3, Cyberjaya, Selangor"
"RM 1,300 per month","Apartment / Condominium, For rent",Condominium,2,1,600 sq.ft.,Partially Furnished,"Parking, Multipurpose hall, Security, Playground, Swimming Pool, Jogging Track, Gymnasium, Lift",Selangor,Kajang,2025-01-28 14:05,109948985,2.9565485931360893,101.79432617236422,"Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan Zamrud Utama, Kajang 2, Kajang, Selangor"
"RM 1,798 per month","Apartment / Condominium, For rent",Condominium,3,2,1300 sq.ft.,Fully Furnished,"Parking, Playground, Swimming Pool, Lift, Security, Multipurpose hall, Minimart, Gymnasium, Sauna",Selangor,Shah Alam,2025-01-28 14:05,109948937,3.0587106,101.4953899,"Near KTM/LRT, Washing Machine, Cooking Allowed, Air-Cond","Seksyen 16, Shah Alam, Selangor"
"RM 1,400 per month","House, For rent",2-storey Terraced House,4,3,1750 sq.ft.,Not Furnished,,Selangor,Puncak Alam,2025-01-28 14:04,109949175,,,,
"RM 3,000 per month","House, For rent",2-storey Terraced House,4,3,2000 sq.ft.,Partially Furnished,"Parking, Security, Playground",Selangor,Bandar Kinrara,2025-01-28 14:03,109949167,,,"Air-Cond, Cooking Allowed, Near KTM/LRT",
"RM 1,200 per month","Apartment / Condominium, For rent",Condominium,2,2,770 sq.ft.,Partially Furnished,"Gymnasium, Barbeque area, Multipurpose hall, Playground, Swimming Pool, Lift, Sauna, Security, Parking, Minimart",Selangor,Kajang,2025-01-28 14:03,109949165,2.9833582069300806,101.79094219274336,"Cooking Allowed, Near KTM/LRT","Jalan Bukit, Kajang, Selangor"
"RM 2,100 per month","Apartment / Condominium, For rent",Townhouse Condo,4,4,2343 sq.ft.,Partially Furnished,"Multipurpose hall, Parking, Jogging Track, Security, Playground",Selangor,Shah Alam,2025-01-28 14:02,109824326,3.143527137838127,101.50283364307582,"Air-Cond, Cooking Allowed","Jalan Hijau Pelangi U9/55, Shah Alam, Selangor"
RM 850 per month,"House, For rent",1-storey Terraced House,3,2,1194 sq.ft.,Not Furnished,"Parking, Playground",Selangor,Klang,2025-01-28 14:01,109949132,,,Cooking Allowed,
"RM 2,300 per month","Apartment / Condominium, For rent",Condominium,2,2,1050 sq.ft.,Fully Furnished,"Lift, Parking, Security, Gymnasium, Barbeque area, Swimming Pool, Playground",Selangor,Shah Alam,2025-01-28 13:56,109903186,3.0751843823612655,101.55101583371984,"Air-Cond, Cooking Allowed, Washing Machine","Jalan Boling Padang 13/62, Seksyen 13, Shah Alam, Selangor"
"RM 1,250 per month","Apartment / Condominium, For rent",Apartment,3,2,815 sq.ft.,Partially Furnished,"Parking, Security, Playground",Selangor,Shah Alam,2025-01-28 13:52,109568929,,,Air-Cond,"Jalan Anggerik Tania 31/112,Kota Kemuning, Sect 31, Shah Alam, Selangor"
"RM 1,400 per month","House, For rent",2-storey Terraced House,4,3,1400 sq.ft.,Not Furnished,,Selangor,Rawang,2025-01-28 13:52,109686825,,,,
"RM 1,400 per month","House, For rent",2-storey Terraced House,4,3,2000 sq.ft.,Not Furnished,"Parking, Security",Selangor,Semenyih,2025-01-28 13:52,109293452,,,,
RM 750 per month,"Apartment / Condominium, For rent",Apartment,3,2,850 sq.ft.,Partially Furnished,"Parking, Security, Lift",Selangor,Rawang,2025-01-28 13:51,109666459,,,"Air-Cond, Washing Machine, Near KTM/LRT, Internet","Jalan Dm 1, Taman Desamas, Rawang, Selangor"
"RM 1,600 per month","Apartment / Condominium, For rent",Service Residence,3,2,1100 sq.ft.,Fully Furnished,"Parking, Gymnasium, Security, Swimming Pool",Melaka,Melaka Tengah,2025-01-28 13:50,109023877,,,,"Off Jalan Rev Seet Kim Beng, Melaka Tengah, Melaka"
"RM 1,200 per month","House, For rent",1-storey Terraced House,3,2,1300 sq.ft.,Fully Furnished,,Melaka,Krubong,2025-01-28 13:50,108983606,,,,
