ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities
106087179,Mutiara Ville @ Cyberjaya,2013,"RM 1,600 per month",Selangor - Cyberjaya,Condominium,3,2,2,1025 sq.ft.,Fully Furnished,"Playground, Gymnasium, Jogging Track, Minimart, Parking, Security, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine, Internet"
106087346,Canopy Hills,2022,"RM 1,700 per month",Selangor - Kajang,Condominium,3,,1,590 sq.ft.,Partially Furnished,"Multipurpose hall, Security, Swimming Pool, Gymnasium, Lift, Playground, Parking, Jogging Track",
105831537,Oasis 1 @ Mutiara Heights Kajang,2018,"RM 1,200 per month",Selangor - Kajang,Condominium,3,2,2,1250 sq.ft.,Partially Furnished,"Swimming Pool, Lift, Security, Gymnasium, Jogging Track, Multipurpose hall, Parking, Playground","Air-Cond, Cooking Allowed, Near KTM/LRT"
106087322,Mutiara Perdana Apartment,,RM 850 per month,Selangor - Kajang,Apartment,3,1,2,900 sq.ft.,Partially Furnished,"Minimart, Parking, Security, Playground, Swimming Pool, Lift","Near KTM/LRT, Cooking Allowed"
106087265,Saville @ Kajang,2017,"RM 1,200 per month",Selangor - Kajang,Service Residence,2,,2,709 sq.ft.,Partially Furnished,"Swimming Pool, Lift, Minimart, Security, Gymnasium, Parking",
106078680,Avenue Crest,,"RM 1,300 per month",Selangor - Shah Alam,Service Residence,3,,1,614 sq.ft.,Fully Furnished,"Parking, Security, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet"
106078338,La Thea Residences,2016,"RM 2,100 per month",Selangor - Puchong,Condominium,3,2,2,970 sq.ft.,Fully Furnished,"Gymnasium, Jogging Track, Swimming Pool, Security, Parking, Lift, Playground, Sauna, Barbeque area, Multipurpose hall, Tennis Court","Cooking Allowed, Air-Cond, Near KTM/LRT, Washing Machine"
106077438,Edumetro @ Subang Jaya,,"RM 1,300 per month",Selangor - USJ,Condominium,1,,1,450 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Gymnasium","Air-Cond, Cooking Allowed"
105693058,D'Pines,2014,"RM 2,800 per month",Selangor - Ampang,Condominium,5,2,3,1748 sq.ft.,Partially Furnished,"Parking, Lift, Security, Playground, Gymnasium, Swimming Pool, Jogging Track, Multipurpose hall, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT"
106077326,Gaya Resort Homes,2017,"RM 1,600 per month",Selangor - Shah Alam,Service Residence,2,2,2,750 sq.ft.,Partially Furnished,,
